"isbn","titulo","inicial_titulo","autor","editorial","anio de publicacion","numero de paginas","idioma","generos palabras clave","Dewey","Cutte Sanborn","rotulo unica","comentarios"
"9780195532869","Children as Story Tellers: Developing Language Skills in the Classroom","c","Jennings, Claire","Oxford University Press","1993","120","IN","Classroom practices
Cross-literacy
Cross-curricular links
Fictional narratives
Non-fictional narratives","372.6","J54","372.6 J54c","x"
"9780816055838","Critical Companion to Nathaniel Hawthorne: A Literary Reference to His Life and Work","c","Wright, Sarah Bird ","Facts on File.","2007","392","IN","Literary criticism; Author studies; Reference works; American literature; Biographical reference","813.3","W953","813.3 W953c","x"
"9781412916493","Accessing the General Curriculum: Including Students With Disabilities in Standards-Based Reform","a","Nolet, Victor; McLaughlin, Margaret J.","Corwin Press","2005","130","IN","Inclusive education; Curriculum access; Special education; Standards-based reform; Instructional strategies","371.9","N791","371.9 N791a","x"
"9781635988710","Big Ideas Math: Modeling Real Life - (Grade K) Student Edition (Volume 1)","b","Ron, Laurie; Boswell Larson","Big Ideas Learning","2019","376","IN","Mathematics education; Problem-based learning; Common Core; Mathematical reasoning; Curriculum materials","372.7","R768","372.7 R768b","x"
"9780136135500","Educational Research: Planning, Conducting, and Evaluating Quantitative and Qualitative Research","e","Creswell, John W.","Pearson Merrill Prentice Hall","2008","670","IN","Educational research; Quantitative research; Qualitative research; Research methodology; Data analysis.","370.7","C923","370.7 C923e","x"
"9780205573523","Elementary and Middle School Mathematics: Teaching Developmentally (7th Edition)","e","Walle, John A. Van de; Karp, Karen S.; Bay-Williams, Jennifer M.","Allyn & Bacon - Pearson","2009","490","IN","Mathematics education; Teaching strategies; Child development; Pedagogical theory; Curriculum design.","510.7","W196","510.7 W196e","x"
"9780137144259","Literature-Based Reading Activities","l","Yopp, Ruth Helen; Yopp, Hallie Kay","Allyn & Bacon - Pearson","2009","162","IN","Reading instruction; Literacy development; Classroom activities; Literature-based learning; Teaching resources.","372.6","Y59","372.6 Y59l","x"
"9780942961430","Teaching for Joy and Justice: Re-Imagining the Language Arts Classroom","t","Christensen, Linda","A Rethinking School Publication","2010","287","IN","Language arts education; Critical pedagogy; Inclusive education; Social justice in education; Teaching practices.","428.0","C554","428.0 C554t","x"
"9781413004441","The Heinle Picture Dictionary","t","Huizenga, Jann","Thomson Heinle","2005","262","IN ","ESL/EFL learning; Vocabulary development; Visual learning; Language acquisition; Instructional materials.","423.1","H911","423.1 H911t","x"
"9780325048093","Writing Pathways Grades K-5 (Performance Assessments & Learning Progressions","w","Calkins, Lucy","Firsthand Heinemann","2013","251","IN ","Writing instruction; Assessment in education; Literacy development; Learning progressions; Elementary education.","372.6","C155","372.6 C155w","x"
"9781557666253","Academic Success Strategies for Adolescents with Learning Disabilities and ADHD","a","Minskoff, Esther H.; Allsopp, David","Brookes Publishing","2003","330","IN ","Special education; Learning disabilities; ADHD; Academic success; Adolescent education; Study skills.","371.92","M666","371.92 M666a","x"
"9781416602361","A Handbook for Classroom Management that Works","a","Marzano, Robert J.","ASCD - Association for Supervision Curriculum Development","2005","181","IN ","Classroom management; Teaching strategies; Effective teaching; Student engagement; Discipline.","371.1","M393","371.1 M393a","x"
"9781416606253","Align the Design: A Blueprint for School Improvement","a","Mooney, Nancy J.; Mausbach, Ann T.","ASCD - Association for Supervision Curriculum Development","2008","202","IN ","School improvement; Educational leadership; Curriculum design; Strategic planning; School administration.","371.2","M818","371.2 M818a","x"
"9780325005812","Assessing Writers","a","Anderson, Carl","Heinemann","2005","252","IN ","Writing instruction; Student assessment; Literacy development; Writing workshop; Feedback strategies.","372.6","An545","372.6 An545a","x"
"9780226820316","Basic Principles of Curriculum and Instruction","b","Tyler, Ralph W.","The University of Chicago Press","1949","128","IN ","Curriculum development; Educational theory; Instructional design; Pedagogy; Learning objectives.","370.1","T983","370.1 T983b","x"
"9781416600107","Handbook for Qualities of Effective Teachers","h","Stronge, James H.","ASCD - Association for Supervision Curriculum Development","2004","225","IN ","Teacher effectiveness; Professional development; Classroom practice; Instructional quality; Teacher evaluation.","371.1","St924","371.1 St924h","x"
"9780863558047","LETs and NESTs","l","Copland, Fiona; Garton, Sue; Mann, Steve","British Council","2016","273","IN ","ESL/EFL; English language teaching; Teacher training; Language acquisition; Non-native teachers.","428.0","C784","428.0 C784l","x"
"9781598743227","Qualitative Inquiry and the Politics of Evidence","q","Denzin, Norman K.","Left Coast Press - inc.","2008","352","IN ","Qualitative research; Educational inquiry; Research ethics; Evidence-based practice; Social science.","001.4","D417","001.4 D417q","x"
"9780871206633","Qualities of Effective Teachers","q","Stronge, James H.","ASCD - Association for Supervision Curriculum Development","2000","129","IN ","Teaching standards; Instructional effectiveness; Professionalism; Teacher-student relationship.","371.1","St924","371.1 St924q","x"
"9780205410347","Reading, Writing and Learning in ESL: A Resource Book for K-12 Teachers","r","Peregoy, Suzanne F.; Boyle, Owen F.","Pearson ","2005","443","IN ","ESL; Bilingual education; Literacy; Language arts; Multicultural education; K-12 instruction.","428.2","P435","428.2 P435r","x"
"9780325048000","Self-Directed Writers: The Third Essential Element in the Writing Workshop","s","Glover, Matt; Glover, Matt","Heinemann","2013","136","IN ","Writing workshop; Self-directed learning; Elementary education; Literacy; Writing process.","372.6","G566","372.6 G566s","x"
"9780871203878","So Each May Learn: Integrating Learning Styles and Multiple Intelligences","s","Silver, Harvey F.; Strong, Richard W.; Perini, Matthew J","ASCD - Association for Supervision Curriculum Development","2000","124","IN ","Learning styles; Multiple intelligences; Differentiated instruction; Cognitive psychology; Classroom diversity.","370.1","Si587","370.1 Si587s","x"
"9781892989819","The First Six Weeks of School","t","Denton, Paula","For Responsive Classroom","2000","297","IN ","Classroom environment; Social-emotional learning; School start-up; Responsive classroom; Elementary teaching.","372.1","D415","372.1 D415t","x"
"9788490647707","¿Cómo analizar la narración en un relato corto?","c","Navarro, Jordi Sánchez; Rosa, Antonio Luque de la; Monje, Verónica Sevillano; Gutiérrez, Ángela Martín","Editorial UOC","2015","75","ES","Narratología; Crítica literaria; Análisis del relato; Teoría literaria.","401.4","N322","401.4 N322c","x"
"9788433971692","A quien corresponda","a","Caparrós, Martín","Anagrama Narrativas Hispánicas ","2008","319","ES","Novela argentina; Ficción contemporánea; Dictadura; Literatura política.","863.7","C236","863.7 C236a","x"
